Name,sl3
3_1,q**(-2) + q**(-4) + 2/q**6 + q**(-8) - 1/q**12 - 1/q**14
4_1,q**8 + q**6 - 1 + q**(-6) + q**(-8)
5_1,q**(-6) + q**(-8) + 2/q**10 + q**(-12) + q**(-14) - 1/q**18 - 1/q**20 - 1/q**22
5_2,q**(-2) + q**(-6) + q**(-8) + q**(-10) + q**(-12) - 1/q**18 - 1/q**20
6_1,q**8 + q**6 + q**2 - 1/q**4 - 1/q**6 + q**(-12) + q**(-14)
6_2,q**4 + q**2 + 1 + q**(-2) - 1/q**4 - 1/q**8 + q**(-16)
6_3,-q**10 + 2*q**2 + 1 + 2/q**2 - 1/q**10
7_1,q**(-10) + q**(-12) + 2/q**14 + q**(-16) + q**(-18) - 1/q**26 - 1/q**28 - 1/q**30
7_2,q**(-2) + q**(-6) + q**(-8) + q**(-16) + q**(-18) - 1/q**24 - 1/q**26
7_3,q**(-6) + q**(-10) + q**(-14) + 2/q**16 + q**(-18) + q**(-20) - 1/q**22 - 1/q**24 - 1/q**26 - 1/q**28
7_4,q**(-2) - 1/q**4 + q**(-8) + q**(-10) + 2/q**12 + q**(-14) + q**(-16) - 1/q**20 - 1/q**24 - 1/q**26
7_5,q**(-6) + 2/q**10 + q**(-12) + q**(-14) + q**(-16) - 1/q**18 - 1/q**22 - 1/q**28
7_6,q**4 + q**(-2) - 1/q**4 + q**(-6) + q**(-10) + q**(-12) + q**(-16) - 1/q**18 - 1/q**20
7_7,q**14 + q**12 - q**10 - q**6 - q**4 + q**2 + 2/q**2 + q**(-6) + q**(-8) - 1/q**10
8_1,q**8 + q**6 + q**2 - 1/q**10 - 1/q**12 + q**(-18) + q**(-20)
8_2,1 + q**(-2) + q**(-4) + q**(-6) + q**(-10) - 1/q**12 - 1/q**16 - 1/q**18 + q**(-24)
8_3,q**14 + q**12 + q**8 - q**4 - 1 - 1/q**4 + q**(-8) + q**(-12) + q**(-14)
8_4,q**16 + q**10 + q**6 - q**4 - q**2 - 1 - 1/q**2 + q**(-4) + q**(-6) + q**(-8) + q**(-10)
8_5,1 + q**(-2) + 2/q**4 + 2/q**6 - 3/q**12 - 1/q**14 - 1/q**16 + q**(-20) + q**(-24)
8_6,q**4 + q**2 + 1 + 2/q**2 - 1/q**4 - 1/q**8 - 1/q**10 - 1/q**14 + q**(-16) + q**(-22)
8_7,-q**18 - q**14 + q**10 + 2*q**6 + 2*q**2 + 1 - 1/q**6
8_8,-q**16 - q**10 + q**8 + q**4 + 2*q**2 + 1 + 2/q**2 - 1/q**4 - 1/q**10
8_9,q**12 + q**8 - q**4 + q**2 - 1 + q**(-2) - 1/q**4 + q**(-8) + q**(-12)
8_10,-q**18 - 2*q**14 - q**12 + q**10 + q**8 + 4*q**6 + q**4 + 2*q**2 - 1/q**2 - 1/q**6
8_11,q**4 + 2/q**2 + 2/q**6 - 1/q**10 - 1/q**12 - 2/q**14 + q**(-16) + q**(-22)
8_12,q**14 + q**12 - q**10 + q**8 - q**4 + q**2 - 1 + q**(-2) - 1/q**4 + q**(-8) - 1/q**10 + q**(-12) + q**(-14)
8_13,-q**16 - q**10 + 2*q**8 + q**6 + q**4 + q**2 - 1 + q**(-2) - 1/q**4 + q**(-6) + q**(-8) - 1/q**10
8_14,q**4 + 2/q**2 - 1/q**4 + q**(-6) + q**(-12) - 1/q**14 + q**(-16) - 1/q**18 - 1/q**20 + q**(-22)
8_15,q**(-6) - 1/q**8 + 2/q**10 + q**(-12) + q**(-14) + 3/q**16 + q**(-20) - 2/q**22 - 2/q**24 - 1/q**26 - 2/q**28 + q**(-30) + q**(-32)
8_16,-q**18 + q**16 - q**14 + q**10 - q**8 + 2*q**6 - q**4 + 2*q**2 + 1 + q**(-4) - 1/q**6
8_17,q**12 - q**10 + q**8 - q**4 + 2*q**2 - 1 + 2/q**2 - 1/q**4 + q**(-8) - 1/q**10 + q**(-12)
8_18,q**12 - 2*q**10 - q**6 - q**4 + 4*q**2 + 1 + 4/q**2 - 1/q**4 - 1/q**6 - 2/q**10 + q**(-12)
8_19,q**(-10) + q**(-12) + 2/q**14 + 2/q**16 + 2/q**18 - 1/q**22 - 2/q**24 - 2/q**26 - 1/q**28 + q**(-32)
8_20,-q**16 - q**14 - q**12 + 2*q**8 + 2*q**6 + 2*q**4 + q**2 - 1/q**4
8_21,2/q**2 + q**(-4) + 2/q**6 + q**(-8) - 1/q**10 - 1/q**12 - 2/q**14 + q**(-22)
9_1,q**(-14) + q**(-16) + 2/q**18 + q**(-20) + q**(-22) - 1/q**34 - 1/q**36 - 1/q**38
9_2,q**(-2) + q**(-6) + q**(-8) + q**(-22) + q**(-24) - 1/q**30 - 1/q**32
9_3,q**(-10) + q**(-14) + q**(-18) + q**(-20) + q**(-22) + 2/q**24 - 1/q**30 - 1/q**32 - 1/q**34 - 1/q**36
9_4,q**(-6) + q**(-10) + q**(-16) + q**(-20) + q**(-22) + q**(-24) + q**(-26) - 1/q**28 - 1/q**30 - 1/q**32 - 1/q**34
9_5,q**(-2) - 1/q**4 + q**(-8) + q**(-12) + q**(-14) + q**(-16) + q**(-18) + q**(-22) - 1/q**26 - 1/q**30 - 1/q**32
9_6,q**(-10) + 2/q**14 + q**(-16) + 2/q**18 + q**(-20) - 1/q**22 - 2/q**26 - 1/q**36
9_7,q**(-6) + 2/q**10 + q**(-12) + q**(-16) - 1/q**18 + q**(-26) - 1/q**28 - 1/q**34
9_8,q**10 + q**4 - q**2 - 1/q**4 + q**(-6) + 2/q**10 + q**(-12) + q**(-16) - 1/q**18 - 1/q**20
9_9,q**(-10) + 2/q**14 + q**(-18) + q**(-20) + 2/q**24 - 1/q**26 - 1/q**30 - 1/q**32 - 1/q**36
9_10,q**(-6) - 1/q**8 + q**(-10) + 2/q**16 + 2/q**20 + q**(-22) + q**(-24) + q**(-26) - 2/q**28 - 1/q**30 - 1/q**32 - 1/q**34
9_11,-q**28 - q**26 - q**22 + q**20 + q**16 + 2*q**14 + 2*q**10 - q**8 + 1
9_12,q**4 + 2/q**2 - 1/q**4 + q**(-6) - 1/q**10 - 1/q**14 + 2/q**16 + q**(-18) + q**(-22) - 1/q**24 - 1/q**26
9_13,q**(-6) - 1/q**8 + q**(-10) + 3/q**16 + q**(-18) + 2/q**20 - 1/q**24 - 2/q**28 - 1/q**34
9_14,q**20 + q**18 - q**16 - q**12 - 2*q**10 + q**8 + q**4 + q**2 + 2/q**2 - 1/q**4 + q**(-6) + q**(-8) - 1/q**10
9_15,-q**26 - q**24 + q**22 - q**20 + 2*q**16 + 2*q**12 - 2*q**4 + 2*q**2 + q**(-4)
9_16,q**(-10) + 3/q**14 + q**(-16) + 2/q**18 + q**(-20) - 2/q**22 - 3/q**26 + q**(-34) - 1/q**36
9_17,q**10 + q**8 + q**4 - q**2 - 2/q**4 + q**(-6) - 1/q**8 + 2/q**10 + q**(-12) + q**(-16) - 1/q**18
9_18,q**(-6) - 1/q**8 + 2/q**10 + q**(-12) + 2/q**16 - 1/q**18 + q**(-20) + q**(-26) - 2/q**28 - 1/q**34
